state,filename
alaska,alaska_45.48.010_to_45.48.090.txt
arizona,arizona_44-7501.txt
arkansas,arkansas_4-110-101_to_4-110-108.txt
california,california_1798.82.txt
colorado,colorado_6-1-716.txt
connecticut,connecticut_36a-701b.txt
delaware,delaware_12B-101_to_12B-104.txt
district_of_columbia,DC_28-3851_to_28-3853.txt
florida,florida_501.171.txt
georgia,georgia_10-1-910_to_10-1-915.txt
guam,guam_9GCA-48.txt
hawaii,hawaii_487N-1_to_487N-3.txt
idaho,idaho_28-51-104_to_28-51-107.txt
illinois,illinois_815-ILCS-530.txt
indiana,indiana_24-4.9.txt
iowa,iowa_715C.txt
kansas,kansas_50-7a.txt
kentucky,kentucky_365.720_to_365.734.txt
louisiana,louisiana_51.3072_to_52.3077.txt
maine,maine_10-210-B-1347_to_10-210-B-1350.txt
maryland,maryland_14-3501_to_14-3508.txt
massachusetts,massachusetts_93H-1_to_93H-8.txt
michigan,michigan_445.63_and_445.72.txt
minnesota,minnesota_325E.61_and_325E.64.txt
mississippi,mississippi_75-24-29.txt
missouri,missouri_407.1500.txt
montana,montana_30-14-1702_and_30-14-1704.txt
nebraska,nebraska_87-802_to_87-807.txt
nevada,nevada_603A.txt
new_hampshire,new_hampshire_359-C-19_to_359-C-21.txt
new_jersey,new_jersey_C-56-8-161_to_C-56-8-166.txt
new_york,new_york_899-AA.txt
north_carolina,north_carolina_GS-75-61_and_GS-75-65.txt
north_dakota,north_dakota_51-30.txt
ohio,ohio_1349.19.txt
oklahoma,oklahoma_24-162_to_OS-24-166.txt
oregon,oregon_646A.602_and_646A.604.txt
pennsylvania,pennsylvania_73-2301.txt
rhode_island,rhode_island_11-49.3.txt
south_carolina,south_carolina_39-1-90.txt
tennessee,tennessee_47-18-2107.txt
texas,texas_BC.521.002_and_BC.521.053.txt
utah,utah_13-44.txt
vermont,vermont_2430_and_2435.txt
virgin_islands,virgin_islands_2201_and_2209.txt
virginia,virginia_18.2-186.6.txt
washington,washington_19.255.010.txt
west_virginia,west_virginia_46A-2A.txt
wisconsin,wisonsin_134.98.txt
wyoming,wyoming_40-12-501_to_502.txt
